profile,scale,tested_method,reference,feasibility_rate_delta,mean_feasible_objective_delta,mean_runtime_delta_sec,coverage_violation_delta
baseline,20,C_composite_score,A_due_time_priority,0.75,-316.5197320301179,0.000729138833473068,-9
baseline,20,C_composite_score,B_nearest_customer,0.0,-12.459513403688106,0.0006996284164415556,0
baseline,50,C_composite_score,A_due_time_priority,0.41666666666666663,-1169.9124094809822,0.005115392166165597,-5
baseline,50,C_composite_score,B_nearest_customer,0.0,34.456791610552614,0.005085374915931122,0
baseline,100,C_composite_score,A_due_time_priority,0.0,-2718.032147688875,0.024612104249475426,0
baseline,100,C_composite_score,B_nearest_customer,0.0,-17.099955291386323,0.024094041749473643,0
small_battery,20,C_composite_score,A_due_time_priority,0.9166666666666666,,0.0006873405000078493,-11
small_battery,20,C_composite_score,B_nearest_customer,-0.08333333333333337,-6.763499338907252,0.00037678808378890005,1
small_battery,50,C_composite_score,A_due_time_priority,1.0,,0.002914381916525599,-12
small_battery,50,C_composite_score,B_nearest_customer,0.0,-9.667106479721156,0.0028654789994106977,0
small_battery,100,C_composite_score,A_due_time_priority,1.0,,0.015610975249728654,-12
small_battery,100,C_composite_score,B_nearest_customer,0.0,56.73209784773235,0.015298957999220875,0
tight_tw,20,C_composite_score,A_due_time_priority,0.6666666666666667,-330.8688527977264,0.0007610174167590836,-8
tight_tw,20,C_composite_score,B_nearest_customer,0.0,-12.606565485210353,0.0007742050001979806,0
tight_tw,50,C_composite_score,A_due_time_priority,0.33333333333333337,-1143.6694326057027,0.005952135584266216,-4
tight_tw,50,C_composite_score,B_nearest_customer,0.0,44.46182423517223,0.005928073166918088,0
tight_tw,100,C_composite_score,A_due_time_priority,0.08333333333333337,-2641.9383157486736,0.022588510417032616,-1
tight_tw,100,C_composite_score,B_nearest_customer,0.0,88.08736352674805,0.022233604250080436,0
