profile,scale,tested_method,reference,feasibility_rate_delta,mean_feasible_objective_delta,mean_runtime_delta_sec,coverage_violation_delta
baseline,20,C_composite_score,A_due_time_priority,0.75,-316.5197320301179,0.0007259721663407013,-9
baseline,20,C_composite_score,B_nearest_customer,0.0,-12.459513403688106,0.0007452740001099302,0
baseline,50,C_composite_score,A_due_time_priority,0.41666666666666663,-1169.9124094809822,0.005247624916592031,-5
baseline,50,C_composite_score,B_nearest_customer,0.0,34.456791610552614,0.0052145764166198205,0
baseline,100,C_composite_score,A_due_time_priority,0.0,-2718.032147688875,0.022729385583564483,0
baseline,100,C_composite_score,B_nearest_customer,0.0,-17.099955291386323,0.022063378583576803,0
small_battery,20,C_composite_score,A_due_time_priority,0.9166666666666666,,0.00040650008395459736,-11
small_battery,20,C_composite_score,B_nearest_customer,-0.08333333333333337,-6.763499338907252,0.0003947671669569293,1
small_battery,50,C_composite_score,A_due_time_priority,1.0,,0.003015902750272896,-12
small_battery,50,C_composite_score,B_nearest_customer,0.0,-9.667106479721156,0.0029390763337081207,0
small_battery,100,C_composite_score,A_due_time_priority,1.0,,0.01583203458327868,-12
small_battery,100,C_composite_score,B_nearest_customer,0.0,56.73209784773235,0.015361385416023648,0
tight_tw,20,C_composite_score,A_due_time_priority,0.6666666666666667,-330.8688527977264,0.0007481702499111029,-8
tight_tw,20,C_composite_score,B_nearest_customer,0.0,-12.606565485210353,0.0007543822497003324,0
tight_tw,50,C_composite_score,A_due_time_priority,0.33333333333333337,-1143.6694326057027,0.005809722416567335,-4
tight_tw,50,C_composite_score,B_nearest_customer,0.0,44.46182423517223,0.005790607750138103,0
tight_tw,100,C_composite_score,A_due_time_priority,0.08333333333333337,-2641.9383157486736,0.022119194416670023,-1
tight_tw,100,C_composite_score,B_nearest_customer,0.0,88.08736352674805,0.021534524249849106,0
