profile,scale,tested_method,reference,feasibility_rate_delta,mean_feasible_objective_delta,mean_feasible_objective_pct,mean_runtime_delta_sec
baseline,20,D_composite_inter_route,C_composite_score,0.0,-46.4258707862798,-10.231743099312004,0.004698499999904016
baseline,20,D_composite_inter_route,B_nearest_customer,0.0,-60.4985467149142,-12.932119042883931,0.005409590583743315
baseline,50,D_composite_inter_route,C_composite_score,0.0,-84.58625712947753,-11.304526472233887,0.09728075708305066
baseline,50,D_composite_inter_route,B_nearest_customer,0.0,-72.84665644176152,-9.890768133397675,0.10332683016592152
baseline,100,D_composite_inter_route,C_composite_score,0.0,-162.99578710788592,-14.171697310535214,0.8019841527511744
baseline,100,D_composite_inter_route,B_nearest_customer,0.0,-132.43714973614078,-11.829060619817756,0.8254036041665433
small_battery,20,D_composite_inter_route,C_composite_score,0.0,-29.97836346665929,-6.631355751298192,0.004369934083115368
small_battery,20,D_composite_inter_route,B_nearest_customer,-0.16666666666666663,-46.56107157696874,-9.93509276205781,0.0047817710007317755
small_battery,50,D_composite_inter_route,C_composite_score,0.0,-101.3016066796398,-12.320150522027197,0.08622076050050964
small_battery,50,D_composite_inter_route,B_nearest_customer,0.0,-74.00539079228088,-9.309474360711532,0.08944727083326143
small_battery,100,D_composite_inter_route,C_composite_score,0.0,-191.92738998026243,-15.443558410074365,0.7999706389170266
small_battery,100,D_composite_inter_route,B_nearest_customer,0.0,-122.67906678457007,-10.453954263920405,0.8154715315001037
tight_tw,20,D_composite_inter_route,C_composite_score,0.0,-58.69431941025624,-12.886092205657324,0.004901694167529058
tight_tw,20,D_composite_inter_route,B_nearest_customer,0.0,-71.02471626427177,-15.182184293530922,0.005662652583244683
tight_tw,50,D_composite_inter_route,C_composite_score,0.0,-95.5660180100964,-12.668498108376967,0.10172259033212565
tight_tw,50,D_composite_inter_route,B_nearest_customer,0.0,-77.7477600831968,-10.555791917241416,0.10736169783316049
tight_tw,100,D_composite_inter_route,C_composite_score,0.0,-185.10915808327695,-15.739334936096567,0.9605783608330967
tight_tw,100,D_composite_inter_route,B_nearest_customer,0.0,-121.12027551640949,-10.891094996568025,0.9812165970824935
