step,action,ucb_score,objective_before,objective_after,reward,accepted,moves,feasible,action_runtime_sec,cumulative_runtime_sec,context,termination_reason,profile,method,instance,instance_seed,construction_source
0,two_opt,,514.5575935930884,514.5575935930884,0.0,False,0,True,0.0005317909999575932,0.0005317909999575932,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,nearest
1,relocate,,514.5575935930884,484.52752850700864,0.05836094046612696,True,3,True,0.0011303749997750856,0.0016621659997326788,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,nearest
2,swap,,484.52752850700864,469.9095220705576,0.030169609725775526,True,1,True,0.000408333999075694,0.0020704999988083728,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,nearest
3,relocate,0.7920638922438704,469.9095220705576,432.4016019011251,0.07981945120873851,True,2,True,0.0010015420011768583,0.003072041999985231,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,nearest
4,swap,0.8543566254866077,432.4016019011251,432.4016019011251,0.0,False,0,True,0.00039437499799532816,0.0034664169979805592,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,nearest
5,two_opt,0.8880453688256637,432.4016019011251,415.0043698427064,0.04023396764010329,True,1,True,0.001037250000081258,0.004503666998061817,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,nearest
6,relocate,0.7316466613261285,415.0043698427064,398.2781535427064,0.04030371127499103,True,1,True,0.0011357080002198927,0.00563937499828171,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,nearest
7,two_opt,0.7105863796071146,398.2781535427064,398.2781535427064,0.0,False,0,True,0.0005223330008448102,0.00616170799912652,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,nearest
8,swap,0.728851697981054,398.2781535427064,398.2781535427064,0.0,False,0,True,0.0006520419992739335,0.0068137499984004535,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,nearest
9,relocate,0.6585606525263932,398.2781535427064,398.2781535427064,0.0,False,0,True,0.0011273330019321293,0.007941083000332583,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,nearest
10,two_opt,0.6266721956850099,398.2781535427064,398.2781535427064,0.0,False,0,True,0.0005177089988137595,0.008458791999146342,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'nearest'}",patience,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,nearest
0,two_opt,,437.36299593089615,437.36299593089615,0.0,False,0,True,0.0003758329985430464,0.0003758329985430464,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,composite
1,relocate,,437.36299593089615,424.3003623872711,0.029866800952883917,True,3,True,0.0010097079975821543,0.0013855409961252008,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,composite
2,swap,,424.3003623872711,401.7831882595467,0.05306894861233307,True,1,True,0.000437917002273025,0.0018234579983982258,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,composite
3,swap,0.7867719003900765,401.7831882595467,401.7831882595467,0.0,False,0,True,0.00043362499854993075,0.0022570829969481565,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,composite
4,relocate,0.8540538167137162,401.7831882595467,373.051086909127,0.07151145739791173,True,2,True,0.0011309580004308373,0.0033880409973789938,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,composite
5,two_opt,0.8880453688256637,373.051086909127,367.587456990638,0.01464579546934791,True,2,True,0.0005000829987693578,0.0038881239961483516,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,composite
