profile,scale,tested_method,reference_method,feasibility_rate_delta,mean_feasible_objective_delta,mean_feasible_objective_pct,mean_runtime_delta_sec,jointly_feasible_instances,wins,ties,losses
baseline,20,E_fixed_portfolio,B_nearest_customer,0.0,-70.51836772954249,-14.775289442099716,0.011777697833167622,12,12,0,0
baseline,20,E_fixed_portfolio,D_composite_inter_route,0.0,-14.792478095485762,-3.5090981175664786,0.005792333166937168,12,3,9,0
baseline,20,E_adaptive_portfolio,B_nearest_customer,0.0,-71.95074089621562,-15.0754059763885,0.015224027750264213,12,12,0,0
baseline,20,E_adaptive_portfolio,D_composite_inter_route,0.0,-16.224851262158893,-3.848888242681439,0.00923866308403376,12,6,6,0
baseline,50,E_fixed_portfolio,B_nearest_customer,0.0,-80.79970647870039,-11.468233803129047,0.21055163541647443,12,12,0,0
baseline,50,E_fixed_portfolio,D_composite_inter_route,0.0,-51.681052172157365,-7.651536392162034,0.09606495125050667,12,8,4,0
baseline,50,E_adaptive_portfolio,B_nearest_customer,0.0,-78.37677389677287,-11.124337042240581,0.18862482650001766,12,12,0,0
baseline,50,E_adaptive_portfolio,D_composite_inter_route,0.0,-49.25811959022985,-7.292813880773977,0.0741381423340499,12,10,0,2
baseline,100,E_fixed_portfolio,B_nearest_customer,0.0,-185.37655020408283,-16.420515174883644,1.7965836004996163,12,12,0,0
baseline,100,E_fixed_portfolio,D_composite_inter_route,0.0,-63.20690504240747,-6.27823106114255,0.8798961735001286,12,9,3,0
baseline,100,E_adaptive_portfolio,B_nearest_customer,0.0,-182.64985256854868,-16.17898635232051,1.2051733854162496,12,12,0,0
baseline,100,E_adaptive_portfolio,D_composite_inter_route,0.0,-60.48020740687332,-6.0073929655536435,0.28848595841676195,12,10,0,2
small_battery,20,E_fixed_portfolio,B_nearest_customer,0.08333333333333326,-47.19236037852204,-9.592922849963712,0.011169152749668381,10,10,0,0
small_battery,20,E_fixed_portfolio,D_composite_inter_route,0.0,-23.53425345644854,-5.025554821347308,0.004638746249838733,11,7,4,0
small_battery,20,E_adaptive_portfolio,B_nearest_customer,0.08333333333333326,-54.42675451935776,-11.063478344595234,0.012984618249902269,10,10,0,0
small_battery,20,E_adaptive_portfolio,D_composite_inter_route,0.0,-30.768647597284257,-6.570402820086,0.006454211750072621,11,10,1,0
small_battery,50,E_fixed_portfolio,B_nearest_customer,0.0,-112.67423374941689,-14.259873076634756,0.1854198125823435,12,12,0,0
small_battery,50,E_fixed_portfolio,D_composite_inter_route,0.0,-49.97584348973976,-6.869998871092461,0.09171163566679753,12,10,2,0
small_battery,50,E_adaptive_portfolio,B_nearest_customer,0.0,-110.22516938044294,-13.949923357910727,0.1612373575823464,12,12,0,0
small_battery,50,E_adaptive_portfolio,D_composite_inter_route,0.0,-47.52677912076581,-6.533334829523295,0.06752918066680043,12,11,0,1
small_battery,100,E_fixed_portfolio,B_nearest_customer,0.0,-175.18468441765992,-15.03251122432941,1.6131691144161473,12,12,0,0
small_battery,100,E_fixed_portfolio,D_composite_inter_route,0.0,-49.75726617496514,-4.784607237063553,0.8795376040831494,12,9,3,0
small_battery,100,E_adaptive_portfolio,B_nearest_customer,0.0,-170.39357743467065,-14.621388701043985,0.9900321077493572,12,12,0,0
small_battery,100,E_adaptive_portfolio,D_composite_inter_route,0.0,-44.96615919197586,-4.323899346405968,0.25640059741635923,12,10,1,1
tight_tw,20,E_fixed_portfolio,B_nearest_customer,0.0,-71.67169510785783,-14.91914168528106,0.011799152666450633,12,12,0,0
tight_tw,20,E_fixed_portfolio,D_composite_inter_route,0.0,-12.280406419035103,-2.916894358692202,0.005416746583250642,12,5,7,0
tight_tw,20,E_adaptive_portfolio,B_nearest_customer,0.0,-73.27613935286865,-15.253121940407269,0.01532534708348976,12,12,0,0
tight_tw,20,E_adaptive_portfolio,D_composite_inter_route,0.0,-13.884850664045928,-3.2979887791385862,0.00894294100028977,12,7,5,0
tight_tw,50,E_fixed_portfolio,B_nearest_customer,0.0,-87.06995597965181,-12.234744944296091,0.19985476049896533,12,12,0,0
tight_tw,50,E_fixed_portfolio,D_composite_inter_route,0.0,-27.21146412609278,-4.174799496556094,0.08372909724918524,12,6,6,0
tight_tw,50,E_adaptive_portfolio,B_nearest_customer,0.0,-89.11650771171435,-12.522318748318046,0.18646064575023047,12,12,0,0
tight_tw,50,E_adaptive_portfolio,D_composite_inter_route,0.0,-29.258015858155318,-4.4887827170509444,0.07033498250045038,12,8,2,2
tight_tw,100,E_fixed_portfolio,B_nearest_customer,0.0,-185.5731335968169,-16.336014052288167,1.8652920937508195,12,12,0,0
tight_tw,100,E_fixed_portfolio,D_composite_inter_route,0.0,-61.73776598598306,-6.099724527185917,0.924483333500272,12,11,1,0
tight_tw,100,E_adaptive_portfolio,B_nearest_customer,0.0,-177.1329637459155,-15.593025395387087,1.1839590032498866,12,12,0,0
tight_tw,100,E_adaptive_portfolio,D_composite_inter_route,0.0,-53.297596135081676,-5.26583120061419,0.24315024299933907,12,11,0,1
