profile,scale,method,method_role,instances,feasible_instances,feasibility_rate,mean_objective_feasible,median_objective_feasible,best_objective_feasible,std_objective_feasible,mean_runtime_sec,mean_vehicles_used,mean_accepted_moves,validation_failures
baseline,20,D_composite_inter_route,week5_reference,6,6,1.0,411.08008696693975,427.26129651979204,327.69478569059527,37.919637111388084,0.004890618000596684,2.8333333333333335,8.333333333333334,0
baseline,20,E_fixed_portfolio,week6_fixed_reference,6,6,1.0,387.73989107209127,385.04546023101227,327.69478569059527,40.07250594438696,0.010149416831457833,2.5,8.166666666666666,0
baseline,20,E_adaptive_portfolio,week6_ucb1_reference,6,6,1.0,385.4349321012658,382.15210616927,327.69478569059527,38.371168219838424,0.014234861000052964,2.5,8.666666666666666,0
baseline,20,F_dqn_portfolio,tested_method,6,6,1.0,383.33370634262724,382.2552405945314,327.69478569059527,36.11830673312164,0.014092708166572265,2.3333333333333335,9,0
baseline,50,D_composite_inter_route,week5_reference,6,6,1.0,663.4860650640576,664.4045641786299,596.2409292065513,50.60579845855788,0.10544635400098439,4.333333333333333,34.5,0
baseline,50,E_fixed_portfolio,week6_fixed_reference,6,6,1.0,639.871502925181,632.6401430900016,596.2409292065513,38.521164140323066,0.20149265250074677,4.166666666666667,23.666666666666668,0
baseline,50,E_adaptive_portfolio,week6_ucb1_reference,6,6,1.0,635.0177531678241,626.101023416142,594.2001363465224,35.23959728163079,0.19032780549969175,4.166666666666667,26,0
baseline,50,F_dqn_portfolio,tested_method,6,6,1.0,639.443855690633,626.101023416142,602.6706328637972,40.33203193959378,0.2039795555016705,4.166666666666667,24.666666666666668,0
baseline,100,D_composite_inter_route,week5_reference,6,6,1.0,1012.9829653504345,1030.169746416202,921.8793471961396,47.68137821216843,0.9889327501647737,6.666666666666667,96,0
baseline,100,E_fixed_portfolio,week6_fixed_reference,6,6,1.0,956.5429570125817,942.4217719107675,911.9126002770481,46.54286582153215,1.8606009166675601,6.166666666666667,70,0
baseline,100,E_adaptive_portfolio,week6_ucb1_reference,6,6,1.0,946.414717668813,928.0096886356455,912.3562749215045,43.96415949371864,1.3085857711666904,6.333333333333333,75.83333333333333,0
baseline,100,F_dqn_portfolio,tested_method,6,6,1.0,980.9470096259232,977.3863724535128,918.2152738862158,46.52758027584456,1.1657344859995646,6.333333333333333,66,0
tight_tw,20,D_composite_inter_route,week5_reference,6,6,1.0,429.9886874552812,432.65266210850257,414.40049218067105,7.587324415800769,0.006587284832979397,3,9.833333333333334,0
tight_tw,20,E_fixed_portfolio,week6_fixed_reference,6,6,1.0,402.43884035921917,408.81286616547027,352.8203314534396,30.48021096929419,0.012355923668413501,2.6666666666666665,8,0
tight_tw,20,E_adaptive_portfolio,week6_ucb1_reference,6,6,1.0,400.00931180876944,406.5428471678552,352.8203314534396,28.74169639353023,0.01553823616632144,2.6666666666666665,8.5,0
tight_tw,20,F_dqn_portfolio,tested_method,6,6,1.0,399.18004917107817,406.0226465289894,352.8203314534396,28.30310577040576,0.015821534832260415,2.5,8.666666666666666,0
tight_tw,50,D_composite_inter_route,week5_reference,6,6,1.0,722.1077271517089,738.8558693142619,652.7804459495362,42.24754038659257,0.1286898539995794,4.833333333333333,39,0
tight_tw,50,E_fixed_portfolio,week6_fixed_reference,6,6,1.0,667.674248671338,662.0613614678059,631.793594160455,31.758376900518275,0.22979856249973332,4.333333333333333,29.666666666666668,0
tight_tw,50,E_adaptive_portfolio,week6_ucb1_reference,6,6,1.0,669.6509021620459,667.9768154072319,628.5733142212277,34.68702297149099,0.1930034513340312,4.333333333333333,30.5,0
tight_tw,50,F_dqn_portfolio,tested_method,6,6,1.0,662.8855662638047,659.184477992214,628.5733142212277,32.04668815867025,0.2254575000006298,4.333333333333333,31.166666666666668,0
tight_tw,100,D_composite_inter_route,week5_reference,6,6,1.0,1017.9047835225036,999.0461165341055,950.7840510841813,52.483414852569005,1.1081903054994957,6.833333333333333,104,0
tight_tw,100,E_fixed_portfolio,week6_fixed_reference,6,6,1.0,967.3380574949255,968.0829558911942,947.0788703516127,17.02664802350928,1.8058086668327935,6.5,69,0
tight_tw,100,E_adaptive_portfolio,week6_ucb1_reference,6,6,1.0,967.2051732228882,968.3365578836444,943.6287432978443,18.230487685923777,1.205706104166893,6.666666666666667,70,0
tight_tw,100,F_dqn_portfolio,tested_method,6,6,1.0,965.6854468918682,970.8116456436253,927.8167662237053,24.71977718935264,1.2976440348332592,6.5,58,0
small_battery,20,D_composite_inter_route,week5_reference,6,5,0.8333333333333334,442.6726634563491,450.13679586333546,412.52899673338175,25.268944764410463,0.005023194166521232,3.5,6,0
small_battery,20,E_fixed_portfolio,week6_fixed_reference,6,5,0.8333333333333334,435.5030356379789,439.3894387805909,412.52899673338175,19.421050154965595,0.009805680667341221,3.5,3.6666666666666665,0
small_battery,20,E_adaptive_portfolio,week6_ucb1_reference,6,5,0.8333333333333334,435.5030356379789,439.3894387805909,412.52899673338175,19.421050154965595,0.011239263834189236,3.5,3.6666666666666665,0
small_battery,20,F_dqn_portfolio,tested_method,6,5,0.8333333333333334,435.5030356379789,439.3894387805909,412.52899673338175,19.421050154965595,0.013901590334474653,2.8333333333333335,3.6666666666666665,0
small_battery,50,D_composite_inter_route,week5_reference,6,6,1.0,732.6802879109962,720.6981027507197,708.4858099825705,26.09523126658748,0.10051629866453975,5.833333333333333,35.333333333333336,0
small_battery,50,E_fixed_portfolio,week6_fixed_reference,6,6,1.0,708.0093787761768,710.4672477742799,666.5700257970034,26.926429831421597,0.19971979166803067,5.333333333333333,31.333333333333332,0
small_battery,50,E_adaptive_portfolio,week6_ucb1_reference,6,6,1.0,705.5303465628608,704.4801475164427,666.5700257970034,27.22634767128846,0.16640136816931772,5.333333333333333,31.833333333333332,0
small_battery,50,F_dqn_portfolio,tested_method,6,6,1.0,708.5338836616459,712.5495450370897,666.5700257970034,26.960159859300322,0.19926306966832877,5.5,31.5,0
small_battery,100,D_composite_inter_route,week5_reference,6,6,1.0,1052.8496193318279,1052.2854339303872,1017.1109523874521,28.41146016523131,1.011408923665537,8.333333333333334,93,0
small_battery,100,E_fixed_portfolio,week6_fixed_reference,6,6,1.0,1017.3792257262436,1026.100312741596,972.3939182355339,30.874747636463617,2.0977069234989663,7.833333333333333,82.16666666666667,0
small_battery,100,E_adaptive_portfolio,week6_ucb1_reference,6,6,1.0,1028.2004466907922,1027.4347660214096,986.165783264441,27.16282758644384,1.2663247708333074,8.166666666666666,78.33333333333333,0
small_battery,100,F_dqn_portfolio,tested_method,6,6,1.0,1018.4365060258748,1019.6721760515813,980.2351067549304,23.73321448560911,1.316715819166954,7.833333333333333,71.5,0
